runtime,seed,suboptimality,agent num,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value, root f value,#adopt bypasses,cardinal conflicts,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,chosen from cleanup,chosen from open,chosen from focal,#solve MVCs,#merge MDDs,#solve 2 agents,#memoization,cost error,distance error,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.033526,3,1.5,40,1,1,7884,35785,6880,6879,6879,6879,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.003724,8e-06,0.00021,0,0,0,0.003192,0,0.000386,0.001169,0.00119,0.516029,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.033542,4,1.5,40,1,1,7884,35785,6880,6879,6879,6879,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.003698,8e-06,0.000209,0,0,0,0.003289,1e-06,0.00032,0.00112,0.001135,0.513727,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.033272,5,1.5,40,1,1,7884,35785,6880,6879,6879,6879,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.003674,8e-06,0.000208,0,0,0,0.003303,0,0.000309,0.001093,0.001107,0.529485,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.049912,1,1.5,50,1,1,9643,44076,8336,8335,8335,8335,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.006518,1.1e-05,0.000346,0,0,0,0.005854,2e-06,0.000606,0.002402,0.002442,0.633327,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.049687,2,1.5,50,1,1,9643,44076,8336,8335,8335,8335,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.006641,1.1e-05,0.000343,0,0,0,0.005745,1e-06,0.000551,0.002263,0.002301,0.64906,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.049335,3,1.5,50,1,1,9643,44076,8336,8335,8335,8335,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.006622,1.1e-05,0.000341,0,0,0,0.005687,2e-06,0.000648,0.002356,0.002395,0.639752,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.048711,4,1.5,50,1,1,9643,44076,8336,8335,8335,8335,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.006326,1e-05,0.000349,0,0,0,0.005608,2e-06,0.000745,0.002458,0.002495,0.635217,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.04809,5,1.5,50,1,1,9643,44076,8336,8335,8335,8335,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0.006273,1.1e-05,0.000329,0,0,0,0.005612,0,0.000665,0.002361,0.002398,0.64515,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.068499,1,1.5,60,1,1,12917,54998,9916,9908,9908,9908,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.007193,1.6e-05,0.000503,0,0,0,0.010755,0,0.001413,0.004256,0.004329,0.771673,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.066764,2,1.5,60,1,1,12917,54998,9916,9908,9908,9908,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006883,1.2e-05,0.000484,0,0,0,0.010648,2e-06,0.00108,0.003729,0.003802,0.785009,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.068142,3,1.5,60,1,1,12917,54998,9916,9908,9908,9908,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.0069,1.5e-05,0.000483,0,0,0,0.010892,2e-06,0.001196,0.003865,0.003931,0.762733,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.067881,4,1.5,60,1,1,12917,54998,9916,9908,9908,9908,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006873,1.4e-05,0.000483,0,0,0,0.010841,2e-06,0.001083,0.003682,0.00375,0.773082,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.066696,5,1.5,60,1,1,12917,54998,9916,9908,9908,9908,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.00683,1.3e-05,0.000481,0,0,0,0.010608,0,0.001162,0.003828,0.003894,0.764485,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.079627,1,1.5,70,1,1,15233,65884,12199,12191,12191,12191,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006885,1.7e-05,0.000678,0,0,0,0.010808,2e-06,0.001326,0.004267,0.004345,0.873236,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.079679,2,1.5,70,1,1,15233,65884,12199,12191,12191,12191,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006829,1.7e-05,0.000677,0,0,0,0.010602,1e-06,0.001312,0.004191,0.004265,0.869506,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.079681,3,1.5,70,1,1,15233,65884,12199,12191,12191,12191,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006866,1.6e-05,0.000678,0,0,0,0.010944,1e-06,0.001472,0.004421,0.0045,0.872175,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.080358,4,1.5,70,1,1,15233,65884,12199,12191,12191,12191,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006964,1.8e-05,0.000703,0,0,0,0.0108,4e-06,0.001525,0.004539,0.004626,0.897078,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.07973,5,1.5,70,1,1,15233,65884,12199,12191,12191,12191,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.00696,1.6e-05,0.000687,0,0,0,0.011038,1e-06,0.001395,0.004283,0.00436,0.888403,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.095386,1,1.5,80,1,1,17343,75623,14143,14133,14133,14133,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.00703,1.9e-05,0.000915,0,0,0,0.010805,1e-06,0.001699,0.004863,0.004951,1.02249,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.093239,2,1.5,80,1,1,17343,75623,14143,14133,14133,14133,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006842,2e-05,0.000888,0,0,0,0.010799,0,0.001501,0.004583,0.004678,1.01116,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.093178,3,1.5,80,1,1,17343,75623,14143,14133,14133,14133,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.006823,1.9e-05,0.000885,0,0,0,0.010604,0,0.001408,0.004437,0.004528,1.01661,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.09524,4,1.5,80,1,1,17343,75623,14143,14133,14133,14133,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.007117,2.1e-05,0.000914,0,0,0,0.01094,0,0.001573,0.004713,0.004804,1.0128,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.094269,5,1.5,80,1,1,17343,75623,14143,14133,14133,14133,3,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0.007006,1.9e-05,0.000903,0,0,0,0.010903,0,0.001505,0.004636,0.004725,1.00415,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.114669,1,1.5,90,1,1,19905,87689,16345,16334,16334,16334,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.007596,2.4e-05,0.001165,0,0,0,0.014537,1e-06,0.00214,0.006442,0.006575,1.12024,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.120635,2,1.5,90,1,1,19905,87689,16345,16334,16334,16334,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.007413,2.3e-05,0.001193,0,0,0,0.014169,0,0.002194,0.006433,0.006567,1.14479,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.114542,3,1.5,90,1,1,19905,87689,16345,16334,16334,16334,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.007494,2.3e-05,0.001167,0,0,0,0.014027,3e-06,0.002208,0.006429,0.006566,1.12206,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.114884,4,1.5,90,1,1,19905,87689,16345,16334,16334,16334,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.007409,2.1e-05,0.001164,0,0,0,0.01489,1e-06,0.00218,0.006401,0.006531,1.1375,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.11449,5,1.5,90,1,1,19905,87689,16345,16334,16334,16334,4,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0.007533,2.4e-05,0.001166,0,0,0,0.014252,1e-06,0.002237,0.00649,0.006622,1.12172,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
0.133277,1,1.5,100,1,1,21702,95771,17877,17865,17865,17865,4,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0.008114,2.7e-05,0.001443,0,0,0,0.014439,2e-06,0.002619,0.00729,0.007438,1.24236,WDG+R+C+T+BP with AStar,data/scen-random/Paris_1_256-random-1.scen
